,Sentences,Filename
0,Your support ID is: 5170449210052946320,STG-Dashboard-User-Manual.pdf
1,Your support ID is: 5170449210044928802,OM-AB-PM-JAY-EHCPs-integration-in-HFR_31.03.23.pdf
2,Your support ID is: 5170449210083809604 [Go Back],Gaztte_Notification_Dy_CEO_JS_level.pdf
3,Your support ID is: 5170449210078375163,E-Gazette_of_NITI_creating_NHA.pdf
4,Your support ID is: 5170449210051593360,E-gazette_on_powers_to_CEO_NHA.pdf
5,Your support ID is: 5170449210083790404,Approved-NHA-Volunteer.pdf
6,Your support ID is: 5170449210109459221,HBP-2-0-User-Guidelines-vFinal.pdf
7,Your support ID is: 5170449209984153728,Call-center-strategy.pdf
8,Your support ID is: 5170449210084304204,States-Migrated-to-HBP-2-0.pdf
9,Your support ID is: 5170449210077229546 [Go Back],Notice-dated-23-06-2020_0.pdf
10,Your support ID is: 5170449210076861206,LEM%20-%20Self%20Help%20Guide%20for%20Empanelment%20of%20Laboratory%20under%20AB%20PM-JAY.pdf
11,Your support ID is: 5170449210052363300,Final-Dialysis-empanelment-guidelines-4th-June-2020.pdf
12,Your support ID is: 5170449210074979289,AB-PM-JAY-Revised-portability-guidelines.pdf
13,Your support ID is: 5170449209983868648,Empanelment-and-De-empanelment-guidelines.pdf
14,Your support ID is: 5170449210044382282,Cyber_Security_and_Privacy_Strategy.pdf
15,Your support ID is: 5170449210045177942,Self_Help_Guide_for_Public_Empanelment_of_Government_Hospitals_under_AB_PM_JAY.pdf
16,Your support ID is: 5170449210051579100,Man-in-the-middle-attack-Cyber-Suraksha-Dishanirdesh-Vol-26.pdf
17,Your support ID is: 5170449210108994081,Man-in-the-middle-attack-Cyber-Suraksha-Dishanirdesh-Vol-27.pdf
18,Your support ID is: 5170449209982996728,Cyber-Suraksha-Dishanirdesh-vol24.pdf
19,Your support ID is: 5170449210083774644,Claims-Adjudication-Manual-2_0-final.pdf
20,Your support ID is: 5170449210073891229,Cyber-Suraksha-Dishanirdesh-vol21.pdf
21,Your support ID is: 5170449209983000548,Cyber-Suraksha-Dishanirdesh-vol-4_1.pdf
22,Your support ID is: 5170449210067072227,Cyber-Suraksha-Dishanirdesh-vol-2_1.pdf
23,Your support ID is: 5170449210078364403,Cyber-Suraksha-Dishanirdesh-vol-3_1.pdf
24,Your support ID is: 5170449210076081146,Cyber-Suraksha-Dishanirdesh-vol-7_1.pdf
25,Your support ID is: 5170449210051585020,Cyber-Suraksha-Dishanirdesh-vol-5_1.pdf
26,Your support ID is: 5170449210044393642,Cyber-Suraksha-Dishanirdesh-vol-6_1.pdf
27,Your support ID is: 5170449210073874749,Claims%20Adjudication%20FAQs.pdf
28,Your support ID is: 5170449210109512681,Self%20Help%20Guide%20for%20Empanelment%20of%20Hospitals%20under%20AB%20PM-JAY.pdf
29,Your support ID is: 5170449210070337026,Reallocation Of Head Wise Administrative Expenditure for Better Utilization Of Administrative Fund.pdf
30,Your support ID is: 5170449210013353625,Gazette%20notification%20of%20Finance%20Division%20RRs.pdf
31,Your support ID is: 5170449210073853889,Guidelines-for-Utilisation-of-Claim-Revenues-Report_06-07-21.pdf
32,Your support ID is: 5170449210013340605,Vol-31.pdf
33,Your support ID is: 5170449210076945806 [Go Back],Patient-safety-guidence-note_0.pdf
34,Your support ID is: 5170449210045269622,Patient-Rights-Responsibilities-Charter.pdf
35,Your support ID is: 5170449210083791664,Vol-29.pdf
36,Your support ID is: 5170449210013345825,Cyber-Suraksha-Dishanirdesh-Volume-18.pdf
37,Your support ID is: 5170449210079779303 [Go Back],TMS_STG_User_Manual_v1_0.pdf
38,Your support ID is: 5170449210078359443,Cyber-Suraksha-Dishanirdesh-Volume-19.pdf
39,Your support ID is: 5170449210067067847,Cyber-Suraksha-Dishanirdesh-Volume-20.pdf
40,Your support ID is: 5170449210073892669,Cyber-Suraksh-Dishanirdesh-Vol-15.pdf
41,Your support ID is: 5170449210084298604 [Go Back],NHA-Guidelines-for-Special-Cases-vFinal.pdf
42,Your support ID is: 5170449210079669663,Consolidated-List-of-STGs-Set1-25.pdf
43,Your support ID is: 5170449210013833825,Constitution_of_Transplant_Specialist_Committee_under_AB_PM-JAY2.pdf
