,Specialty Code HBP 2.0,Specialty,Package Code HBP 2.1,AB PM - JAY  Package Name,Procedure Code HBP 2.1,AB PM - JAY  Procedure Name,Procedure Price,Stratification,Implant,Total Package Price
0,BM,Burns Management,BM001,Thermal burns,BM001A,% Total Body Surface Area  Burns (TBSA) - any %  (not requiring admission).  Needs at least 5-6 dressing,"7,000",NA,NA,"7,000"
1,BM,Burns Management,BM001,Thermal burns,BM001B,"% Total Body Surface Area  Burns (TBSA): Upto 40 %;  Includes % TBSA skin grafted,  flap cover, follow-up dressings  etc. as deemed necessary;  Surgical procedures are  required for deep burns that  are not amenable to heal with  dressings alone.","40,000",NA,NA,"40,000"
2,BM,Burns Management,BM001,Thermal burns,BM001C,"% Total Body Surface Area  Burns (TBSA): 40% - 60 %;  Includes % TBSA skin grafted,  flap cover, follow-up dressings  etc. as deemed necessary;  Surgical procedures are  required for deep burns that  are not amenable to heal with  dressings alone.","50,000",NA,NA,"50,000"
3,BM,Burns Management,BM001,Thermal burns,BM001D,"% Total Body Surface Area  Burns (TBSA): > 60 %;  Includes % TBSA skin grafted,  flap cover, follow-up dressings  etc. as deemed necessary;  Surgical procedures are  required for deep burns that  are not amenable to heal with  dressings alone.","80,000",NA,NA,"80,000"
4,BM,Burns Management,BM002,Scald burns,BM002A,% Total Body Surface Area  Burns (TBSA) - any %  (not requiring admission).  Needs at least 5-6 dressing,"7,000",NA,NA,"7,000"
5,BM,Burns Management,BM002,Scald burns,BM002B,"% Total Body Surface Area  Burns (TBSA): Upto 40 %;  Includes % TBSA skin grafted,  flap cover, follow-up dressings  etc. as deemed necessary;  Surgical procedures are  required for deep burns that  are not amenable to heal with  dressings alone.","40,000",NA,NA,"40,000"
6,BM,Burns Management,BM002,Scald burns,BM002C,"% Total Body Surface Area  Burns (TBSA): 40% - 60 %;  Includes % TBSA skin grafted,  flap cover, follow-up dressings  etc. as deemed necessary;  Surgical procedures are  required for deep burns that  are not amenable to heal with  dressings alone.","50,000",NA,NA,"50,000"
7,BM,Burns Management,BM002,Scald burns,BM002D,"% Total Body Surface Area  Burns (TBSA): >  60 %;  Includes % TBSA skin grafted,  flap cover, follow-up dressings  etc. as deemed necessary;  Surgical procedures are  required for deep burns that  are not amenable to heal with  dressings alone.","80,000",NA,NA,"80,000"
8,BM,Burns Management,BM003,Flame burns,BM003A,% Total Body Surface Area  Burns (TBSA) - any %  (not requiring admission).  Needs at least 5-6 dressing,"7,000",NA,NA,"7,000"
9,BM,Burns Management,BM003,Flame burns,BM003B,"% Total Body Surface Area  Burns (TBSA): Upto 40 %;  Includes % TBSA skin grafted,  flap cover, follow-up dressings  etc. as deemed necessary;  Surgical procedures are  required for deep burns that  are not amenable to heal with  dressings alone.","40,000",NA,NA,"40,000"
10,BM,Burns Management,BM003,Flame burns,BM003C,"% Total Body Surface Area  Burns (TBSA): 40 % - 60 %;  Includes % TBSA skin grafted,  flap cover, follow-up dressings  etc. as deemed necessary;  Surgical procedures are  required for deep burns that  are not amenable to heal with  dressings alone.","50,000",NA,NA,"50,000"
11,BM,Burns Management,BM003,Flame burns,BM003D,"% Total Body Surface Area  Burns (TBSA): >  60 %;  Includes % TBSA skin grafted,  flap cover, follow-up dressings  etc. as deemed necessary;  Surgical procedures are  required for deep burns that  are not amenable to heal with  dressings alone.","80,000",NA,NA,"80,000"
12,BM,Burns Management,BM004,Electrical contact burns,BM004A,"Electrical contact burns: Low  voltage - without part of limb /  limb loss; Includes % TBSA  skin grafted, flap cover, follow- up dressings etc. as deemed  necessary; Surgical  procedures are required for  deep burns that are not  amenable to heal with  dressings alone.","30,000",NA,NA,"30,000"
13,BM,Burns Management,BM004,Electrical contact burns,BM004B,"Electrical contact burns: Low  voltage - with part of limb /  limb loss; Includes % TBSA  skin grafted, flap cover, follow- up dressings etc. as deemed  necessary; Surgical  procedures are required for  deep burns that are not  amenable to heal with  dressings alone.","40,000",NA,NA,"40,000"
14,BM,Burns Management,BM004,Electrical contact burns,BM004C,"Electrical contact burns: High  voltage - with part of limb /  limb loss; Includes % TBSA  skin grafted, flap cover, follow- up dressings etc. as deemed  necessary; Surgical  procedures are required for  deep burns that are not  amenable to heal with  dressings alone.","60,000",NA,NA,"60,000"
15,BM,Burns Management,BM004,Electrical contact burns,BM004D,"Electrical contact burns: High  voltage - without part of limb /  limb loss; Includes % TBSA  skin grafted, flap cover, follow- up dressings etc. as deemed  necessary; Surgical  procedures are required for  deep burns that are not  amenable to heal with  dressings alone.","50,000",NA,NA,"50,000"
16,BM,Burns Management,BM005,Chemical burns,BM005A,"Chemical burns: Without  significant facial scarring  and/or loss of function;  Includes % TBSA skin grafted,  flap cover, follow-up dressings  etc. as deemed necessary;  Surgical procedures are  required for deep burns that  are not amenable to heal with  dressings alone.","40,000",NA,NA,"40,000"
17,BM,Burns Management,BM005,Chemical burns,BM005B,"Chemical burns: With  significant facial scarring  and/or loss of function;  Includes % TBSA skin grafted,  flap cover, follow-up dressings  etc. as deemed necessary;  Surgical procedures are  required for deep burns that  are not amenable to heal with  dressings alone.","60,000",NA,NA,"60,000"
18,BM,Burns Management,BM006,Post Burn Contracture  surgeries for Functional  Improvement,BM006A,"Post Burn Contracture  surgeries for Functional  Improvement (Package  including splints, pressure  garments, silicone - gel sheet  and physiotherapy): Excluding  Neck contracture; Contracture  release with - Split thickness  Skin Graft (STSG) / Full  Thickness Skin Graft (FTSG) /  Flap cover is done for each  joint with post - operative  regular dressings for STSG /  FTSG / Flap cover.","50,000",NA,NA,"50,000"
19,BM,Burns Management,BM006,Post Burn Contracture  surgeries for Functional  Improvement,BM006B,"Post Burn Contracture  surgeries for Functional  Improvement (Package  including splints, pressure  garments, silicone - gel sheet  and physiotherapy): Neck  contracture; Contracture  release with - Split thickness  Skin Graft (STSG) /  Full Thickness Skin Graft  (FTSG) / Flap cover is done  for each joint with post- operative regular dressings for  STSG / FTSG / Flap cover.","50,000",NA,NA,"50,000"
20,ER,Emergency,ER001,Laceration - Suturing /  Dressing,ER001A,Laceration - Suturing /  Dressing,"2,000",NA,NA,"2,000"
21,ER,Emergency,ER002,Cardiopulmonary emergency,ER002A,Emergency with stable  cardiopulmonary status,"2,000",NA,NA,"2,000"
22,ER,Emergency,ER002,Cardiopulmonary emergency,ER002B,Emergency with unstable  cardiopulmonary status with  resuccitation,"10,000",NA,NA,"10,000"
23,ER,Emergency,ER003,Animal bites (Excluding Snake  Bite),ER003A,Animal bites (Excluding Snake  Bite),"1,700",NA,NA,"1,700"
24,ID,Infectious Diseases,ID001,"Laboratory Tests for COVID- 19 Infection (PCR) (Reimbursement level for this  package will be as per the  ICMR guidelines, issued from  time to time)",ID001A,"Laboratory Tests for COVID- 19 Infection (PCR) (Reimbursement level for this  package will be as per the  ICMR guidelines, issued from  time to time)",1500,NA,NA,1500
25,ID,Infectious Diseases,ID001,"Laboratory Tests for COVID- 19 Infection (PCR) (Reimbursement level for this  package will be as per the  ICMR guidelines, issued from  time to time)",ID001B,"Laboratory Tests for COVID- 19 Infection (PCR) (Reimbursement level for this  package will be as per the  ICMR guidelines, issued from  time to time)",3000,NA,NA,3000
