,Specialty,Specialty Code HBP 2.0,Package Code HBP 1.0,Package Code HBP 2.0,AB PM - JAY  Package Name,Procedure Code HBP 2.0,AB PM - JAY  Procedure Name,Procedure Price
0,Burns Management,BM,S1100001,BM001,Thermal burns,BM001A,% Total Body Surface Area Burns (TBSA) - any %  (not requiring admission).  Needs at least 5-6 dressing,"7,000"
1,Burns Management,BM,S1100002,BM001,Thermal burns,BM001B,"% Total Body Surface Area Burns (TBSA): Upto 40  %; Includes % TBSA skin grafted, flap cover,  follow-up dressings etc. as deemed necessary;  Surgical procedures are required for deep burns that  are not amenable to heal with dressings alone.","40,000"
2,Burns Management,BM,S1100003,BM001,Thermal burns,BM001C,"% Total Body Surface Area Burns (TBSA): 40% -  60 %; Includes % TBSA skin grafted, flap cover,  follow-up dressings etc. as deemed necessary;  Surgical procedures are required for deep burns that  are not amenable to heal with dressings alone.","50,000"
3,Burns Management,BM,S1100004,BM001,Thermal burns,BM001D,"% Total Body Surface Area Burns (TBSA): > 60 %;  Includes % TBSA skin grafted, flap cover, follow- up dressings etc. as deemed necessary; Surgical  procedures are required for deep burns that are not  amenable to heal with dressings alone.","80,000"
4,Burns Management,BM,S1100001,BM002,Scald burns,BM002A,% Total Body Surface Area Burns (TBSA) - any %  (not requiring admission).  Needs at least 5-6 dressing,"7,000"
5,Burns Management,BM,S1100002,BM002,Scald burns,BM002B,"% Total Body Surface Area Burns (TBSA): Upto 40  %; Includes % TBSA skin grafted, flap cover,  follow-up dressings etc. as deemed necessary;  Surgical procedures are required for deep burns that  are not amenable to heal with dressings alone.","40,000"
6,Burns Management,BM,S1100003,BM002,Scald burns,BM002C,"% Total Body Surface Area Burns (TBSA): 40% -  60 %; Includes % TBSA skin grafted, flap cover,  follow-up dressings etc. as deemed necessary;  Surgical procedures are required for deep burns that  are not amenable to heal with dressings alone.","50,000"
7,Burns Management,BM,S1100004,BM002,Scald burns,BM002D,"% Total Body Surface Area Burns (TBSA): >  60  %; Includes % TBSA skin grafted, flap cover,  follow-up dressings etc. as deemed necessary;  Surgical procedures are required for deep burns that  are not amenable to heal with dressings alone.","80,000"
8,Burns Management,BM,S1100001,BM003,Flame burns,BM003A,% Total Body Surface Area Burns (TBSA) - any %  (not requiring admission).  Needs at least 5-6 dressing,"7,000"
9,Burns Management,BM,S1100002,BM003,Flame burns,BM003B,"% Total Body Surface Area Burns (TBSA): Upto 40  %; Includes % TBSA skin grafted, flap cover,  follow-up dressings etc. as deemed necessary;  Surgical procedures are required for deep burns that  are not amenable to heal with dressings alone.","40,000"
10,Burns Management,BM,S1100003,BM003,Flame burns,BM003C,"% Total Body Surface Area Burns (TBSA): 40 % -  60 %; Includes % TBSA skin grafted, flap cover,  follow-up dressings etc. as deemed necessary;  Surgical procedures are required for deep burns that  are not amenable to heal with dressings alone.","50,000"
11,Burns Management,BM,S1100004,BM003,Flame burns,BM003D,"% Total Body Surface Area Burns (TBSA): >  60  %; Includes % TBSA skin grafted, flap cover,  follow-up dressings etc. as deemed necessary;  Surgical procedures are required for deep burns that  are not amenable to heal with dressings alone.","80,000"
12,Burns Management,BM,S1100005,BM004,Electrical contact burns,BM004A,"Electrical contact burns: Low voltage - without part  of limb / limb loss; Includes % TBSA skin grafted,  flap cover, follow-up dressings etc. as deemed  necessary; Surgical procedures are required for deep  burns that are not amenable to heal with dressings  alone.","30,000"
13,Burns Management,BM,S1100006,BM004,Electrical contact burns,BM004B,"Electrical contact burns: Low voltage - with part of  limb / limb loss; Includes % TBSA skin grafted,  flap cover, follow-up dressings etc. as deemed  necessary; Surgical procedures are required for deep  burns that are not amenable to heal with dressings  alone.","40,000"
14,Burns Management,BM,S1100008,BM004,Electrical contact burns,BM004C,"Electrical contact burns: High voltage - with part of  limb / limb loss; Includes % TBSA skin grafted,  flap cover, follow-up dressings etc. as deemed  necessary; Surgical procedures are required for deep  burns that are not amenable to heal with dressings  alone.","60,000"
15,Burns Management,BM,S1100007,BM004,Electrical contact burns,BM004D,"Electrical contact burns: High voltage - without part  of limb / limb loss; Includes % TBSA skin grafted,  flap cover, follow-up dressings etc. as deemed  necessary; Surgical procedures are required for deep  burns that are not amenable to heal with dressings  alone.","50,000"
16,Burns Management,BM,S1100009,BM005,Chemical burns,BM005A,"Chemical burns: Without significant facial scarring  and/or loss of function; Includes % TBSA skin  grafted, flap cover, follow-up dressings etc. as  deemed necessary; Surgical procedures are required  for deep burns that are not amenable to heal with  dressings alone.","40,000"
17,Burns Management,BM,S1100010,BM005,Chemical burns,BM005B,"Chemical burns: With significant facial scarring  and/or loss of function; Includes % TBSA skin  grafted, flap cover, follow-up dressings etc. as  deemed necessary; Surgical procedures are required  for deep burns that are not amenable to heal with  dressings alone.","60,000"
18,Burns Management,BM,S1100011,BM006,Post Burn Contracture surgeries for Functional  Improvement,BM006A,"Post Burn Contracture surgeries for Functional  Improvement (Package including splints, pressure  garments, silicone - gel sheet and physiotherapy):  Excluding Neck contracture; Contracture release  with - Split thickness Skin Graft (STSG) / Full  Thickness Skin Graft (FTSG) / Flap cover is done  for each joint with post - operative regular dressings  for STSG / FTSG / Flap cover.","50,000"
19,Burns Management,BM,S1100012,BM006,Post Burn Contracture surgeries for Functional  Improvement,BM006B,"Post Burn Contracture surgeries for Functional  Improvement (Package including splints, pressure  garments, silicone - gel sheet and physiotherapy):  Neck contracture; Contracture release with - Split  thickness Skin Graft (STSG) /  Full Thickness Skin Graft (FTSG) / Flap cover is  done for each joint with post-operative regular  dressings for STSG / FTSG / Flap cover.","50,000"
20,Emergency,ER,New Package,ER001,Laceration - Suturing / Dressing,ER001A,Laceration - Suturing / Dressing,"2,000"
21,Emergency,ER,M700001,ER002,Cardiopulmonary emergency,ER002A,Emergency with stable cardiopulmonary status,"2,000"
22,Emergency,ER,New Package,ER002,Cardiopulmonary emergency,ER002B,Emergency with unstable cardiopulmonary status  with resuccitation,"10,000"
23,Emergency,ER,M700004,ER003,Animal bites (Excluding Snake Bite),ER003A,Animal bites (Excluding Snake Bite),"1,700"
24,Interventional  Neuroradiology,IN,S900003,IN001,Dural AVMs / AVFs,IN001A,Dural AVMs (per sitting) with glue,"70,000"
25,Interventional  Neuroradiology,IN,S900003,IN001,Dural AVMs / AVFs,IN001B,Dural AVFs (per sitting) with glue,"70,000"
26,Interventional  Neuroradiology,IN,S900004,IN001,Dural AVMs / AVFs,IN001C,Dural AVMs (per sitting) with onyx,"150,000"
27,Interventional  Neuroradiology,IN,S900004,IN001,Dural AVMs / AVFs,IN001D,Dural AVFs (per sitting) with onyx,"150,000"
28,Interventional  Neuroradiology,IN,S900007,IN002,Cerebral & Spinal AVM embolization - Using  Histoacryl (per sitting),IN002A,Cerebral AVM embolization - Using Histoacryl  (per sitting),"100,000"
29,Interventional  Neuroradiology,IN,S900007,IN002,Cerebral & Spinal AVM embolization - Using  Histoacryl (per sitting),IN002B,Spinal AVM embolization - Using Histoacryl  (per sitting),"100,000"
30,Interventional  Neuroradiology,IN,S900001,IN003,Coil embolization for aneurysms  (includes cost of first 3 coils + balloon and / or stent  if used),IN003A,Coil embolization for aneurysms  (includes cost of first 3 coils + balloon and / or stent  if used),"100,000"
31,Interventional  Neuroradiology,IN,S900005,IN004,Carotico-cavernous Fistula (CCF) embolization,IN004A,"Carotico-cavernous Fistula (CCF) embolization  with coils.  [includes 5 coils, guide catheter, micro-catheter,  micro-guidewire, general items]","30,000"
32,Interventional  Neuroradiology,IN,S900006,IN004,Carotico-cavernous Fistula (CCF) embolization,IN004B,"Carotid-cavernous Fistula (CCF) embolization with  balloon  (includes one balloon, guide catheter, micro- catheter, micro-guidewire, general items)","64,000"
33,Interventional  Neuroradiology,IN,S900014,IN005,Pre-operative tumour embolization  (per session),IN005A,Pre-operative tumour embolization  (per session),"40,000"
34,Interventional  Neuroradiology,IN,S900012,IN006,Intracranial balloon angioplasty with stenting,IN006A,Intracranial balloon angioplasty with stenting,"160,000"
35,Interventional  Neuroradiology,IN,S900013,IN007,Intracranial thrombolysis / clot retrieval,IN007A,Intracranial thrombolysis / clot retrieval,"160,000"
36,Interventional  Neuroradiology,IN,S900011,IN008,Balloon test occlusion,IN008A,Balloon test occlusion,"70,000"
37,Interventional  Neuroradiology,IN,S900008,IN009,Parent vessel occlusion - Basic,IN009A,Parent vessel occlusion - Basic,"30,000"
38,Interventional  Neuroradiology,IN,S900015,IN010,Vertebroplasty,IN010A,Vertebroplasty,"40,000"
39,Cardiology,MC,New Package,MC001,Right / Left Heart Catheterization,MC001A,Right Heart Catheterization,"5,000"
40,Cardiology,MC,New Package,MC001,Right / Left Heart Catheterization,MC001B,Left Heart Catheterization,"5,000"
41,"Cardiology, Interventional  Radiology",MC,S1200039,MC002,Catheter directed Thrombolysis,MC002A,For Deep vein thrombosis (DVT),"30,800"
42,"Cardiology, Interventional  Radiology",MC,S1200039,MC002,Catheter directed Thrombolysis,MC002B,For Mesenteric Thrombosis,"30,800"
43,"Cardiology, Interventional  Radiology",MC,S1200039,MC002,Catheter directed Thrombolysis,MC002C,For Peripheral vessels,"30,800"
44,Cardiology,MC,S1200012,MC003,Balloon Dilatation,MC003A,Coartication of Aorta,"38,600"
45,Cardiology,MC,New Package,MC003,Balloon Dilatation,MC003B,Pulmonary Artrey Stenosis,"38,600"
46,Cardiology,MC,S1200004,MC004,Balloon Pulmonary / Aortic Valvotomy,MC004A,Balloon Pulmonary Valvotomy,"23,400"
